,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本食品標準成分表2015年版（七訂）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本表,,,文字列として入力されてデータがありますので、計算等に使用される場合はご注意下さい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
食品群,食品番号,索引番号,食品名,廃 棄 率,,,一般成分,一般成分,一般成分,一般成分,一般成分,,,,,一般成分,一般成分,,,,一般成分,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,"ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン　
(ビタミンA)","ビタミン
(ビタミンA)",ビタミン,"ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)",ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,,,,,,,,,,,
,,,,廃棄,エネルギー（kcal）,エネルギー（kJ),水   分,たんぱく質,アミノ酸組成によるたんぱく質,脂   質,トリアシルグリセロール当量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,コレステロール,炭水化物,利用可能炭水化物（単糖当量）,水溶性食物繊維,不溶性食物繊維,食物繊維総量,灰   分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,α-カロテン,β-カロテン,β-クリプトキサンチン,β-カロテン当量,レチノール活性当量,ビタミンD,α-トコフェロール,β-トコフェロール,γ-トコフェロール,δ-トコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,食塩相当量,アルコール,硝酸イオン,テオブロミン,カフェイン,タンニン,ポリフェノール,酢酸,調理油,有機酸,重量変化率
,,,Tagnames,REFUSE,"ENERC_
KCAL",ENERC,WATER,－,PROTCAA,－,FATNLEA,FASAT,FAMS,FAPU,CHOLE,－,CHOAVLM,FIBSOL,FIBINS, FIBTG,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA ,CARTB ,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB ,TOCPHG,TOCPHD,VITK,THIAHCL ,RIBF,NIA,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,NACL_EQ,ALC,NITRA ,THEBRN,CAFFN ,TAN,POLYPHENT,ACEAC,－,OA,－
,,,単位,%,kcal/100 g,kJ/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 ｇ,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,mg/100 g,µg/100 g,mg/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,%
1,1001,1,アマランサス　玄穀　,0,358,1498,13.5,12.7,(12.5),6,5,1.18,1.48,2.1,(0),64.9,63.5,1.1,6.3,7.4,2.9,1,600,160,270,540,9.4,5.8,0.92,6.14,1,13,7,59,(0),0,2,0,2,Tr,(0),1.3,2.3,0.2,0.7,(0),0.04,0.14,1,0.58,(0),130,1.69,16.3,(0),0,-,-,-,-,-,-,-,-,-,-
1,1002,2,あわ　精白粒　,0,367,1538,13.3,11.2,10,4.4,4.1,0.67,0.52,2.75,(0),69.7,69.6,0.4,2.9,3.3,1.4,1,300,14,110,280,4.8,2.5,0.49,0.88,0,2,1,22,(0),(0),(0),(0),(0),(0),(0),0.6,0,2.2,0,(0),0.56,0.07,2.9,0.18,(0),29,1.83,14.4,0,0,-,-,-,-,-,-,-,-,-,-
1,1003,3,あわ　あわもち　,0,214,893,48,5.1,(4.5),1.3,(1.2),(0.22),(0.19),(0.73),0,45.3,-,0,1.5,1.5,0.3,0,62,5,12,39,0.7,1.1,0.2,0.46,0,1,0,40,0,0,0,0,0,0,0,0.1,0,1.2,0,0,0.08,0.01,0.3,0.03,0,7,0.61,3.4,0,0,-,-,-,-,-,-,-,-,-,-
1,1004,4,えんばく オートミール　,0,380,1590,10,13.7,12,5.7,(5.1),(0.94),(1.80),(2.09),(0),69.1,63.1,3.2,6.2,9.4,1.5,3,260,47,100,370,3.9,2.1,0.28,-,0,18,0,110,(0),-,-,-,(0),(0),(0),0.6,0.1,0,0,(0),0.2,0.08,1.1,0.11,(0),30,1.29,21.7,(0),0,-,-,-,-,-,-,-,-,-,-
1,1005,5,おおむぎ 七分つき押麦　,0,341,1427,14,10.9,(9.5),2.1,1.8,0.58,0.2,0.91,(0),72.1,(71.2),6.3,4,10.3,0.9,2,220,23,46,180,1.3,1.4,0.32,0.85,-,-,-,-,(0),-,-,-,(0),(0),(0),0.2,Tr,0.1,0,(0),0.22,0.07,3.2,0.14,(0),17,0.43,-,(0),0,-,-,-,-,-,-,-,-,-,-
1,1006,6,おおむぎ　押麦　,0,340,1423,14,6.2,5.4,1.3,(1.1),(0.36),(0.12),(0.56),(0),77.8,71.2,6,3.6,9.6,0.7,2,170,17,25,110,1,1.2,0.4,-,0,1,0,8,(0),-,-,-,(0),(0),(0),0.1,0,0,0,(0),0.06,0.04,1.6,0.14,(0),9,0.46,2.6,(0),0,-,-,-,-,-,-,-,-,-,-
1,1007,7,おおむぎ　米粒麦　,0,343,1435,14,7,(6.1),2.1,(1.8),(0.58),(0.20),(0.91),(0),76.2,68.8,6,2.7,8.7,0.7,2,170,17,25,140,1.2,1.2,0.37,-,Tr,1,Tr,9,(0),-,-,-,(0),(0),(0),0.1,0,0,0,(0),0.19,0.05,2.3,0.19,(0),10,0.64,3.5,(0),0,-,-,-,-,-,-,-,-,-,-
1,1008,8,おおむぎ　大麦めん　乾　,0,339,1418,14,12.9,(11.4),1.7,(1.5),(0.42),(0.16),(0.82),(0),68,(72.2),3.6,2.7,6.3,3.4,1100,240,27,63,200,2.1,1.5,0.33,0.9,-,-,-,-,(0),-,-,-,(0),(0),(0),Tr,Tr,0,0,(0),0.21,0.04,3.5,0.09,(0),19,0.64,-,(0),2.8,-,-,-,-,-,-,-,-,-,-
1,1009,9,おおむぎ　大麦めん　ゆで　,0,122,510,70,4.8,(4.3),0.6,(0.5),(0.15),(0.05),(0.29),(0),24.3,(25.2),1.2,1.3,2.5,0.3,64,10,12,18,61,0.9,0.6,0.13,0.27,-,-,-,-,(0),-,-,-,(0),(0),(0),Tr,Tr,0,0,(0),0.04,0.01,1,0.01,(0),5,0.26,-,(0),0.2,-,-,-,-,-,-,-,-,-,260
1,1010,10,おおむぎ　麦こがし　,0,391,1636,3.5,12.5,(10.8),5,(4.2),(1.39),(0.47),(2.17),(0),77.1,(79.9),5.2,10.3,15.5,1.9,2,490,43,130,340,3.1,3.8,0.41,1.81,-,-,-,-,(0),-,-,-,(0),(0),(0),0.5,0.1,0.2,0,(0),0.09,0.1,7.6,0.09,(0),24,0.28,-,(0),0,-,-,-,-,-,-,-,-,-,-
1,1011,11,きび　精白粒　　　,0,363,1520,13.8,11.3,9.7,3.3,2.9,0.44,0.56,1.78,(0),70.9,71.5,Tr,1.6,1.6,0.7,2,200,9,84,160,2.1,2.7,0.38,-,0,2,1,16,(0),(0),(0),(0),(0),(0),(0),Tr,Tr,0.5,0.3,(0),0.34,0.09,3.7,0.2,(0),13,0.95,7.9,0,0,-,-,-,-,-,-,-,-,-,-
1,1012,12,こむぎ　［玄穀］　国産　普通　,0,337,1410,12.5,10.6,-,3.1,2.6,0.56,0.35,1.53,(0),72.2,-,0.7,10.1,10.8,1.6,2,470,26,80,350,3.2,2.6,0.35,3.9,-,-,-,-,(0),-,-,-,(0),(0),(0),1.2,0.6,0,0,(0),0.41,0.09,6.3,0.35,(0),38,1.03,-,(0),0,-,-,-,-,-,-,-,-,-,-
1,1013,13,こむぎ　［玄穀］　輸入　軟質　,0,348,1456,10,10.1,-,3.3,2.7,0.6,0.38,1.63,(0),75.2,68.4,1.4,9.8,11.2,1.4,2,390,36,110,290,2.9,1.7,0.32,3.79,0,5,1,19,(0),-,-,-,(0),(0),(0),1.2,0.6,0,0,(0),0.49,0.09,5,0.34,(0),40,1.07,9.6,(0),0,-,-,-,-,-,-,-,-,-,-
1,1014,14,こむぎ　［玄穀］　輸入　硬質　,0,334,1397,13,13,-,3,2.5,0.54,0.34,1.49,(0),69.4,62.6,1.5,9.9,11.4,1.6,2,340,26,140,320,3.2,3.1,0.43,4.09,0,54,1,47,(0),-,-,-,(0),(0),(0),1.2,0.6,0,0,(0),0.35,0.09,5.8,0.34,(0),49,1.29,10.7,(0),0,-,-,-,-,-,-,-,-,-,-
1,1015,15,こむぎ　［小麦粉］　薄力粉　1等　,0,367,1535,14,8.3,7.6,1.5,1.3,0.34,0.13,0.75,(0),75.8,80.3,1.2,1.3,2.5,0.4,Tr,110,20,12,60,0.5,0.3,0.08,0.43,Tr,4,2,12,0,-,-,-,(0),(0),0,0.3,0.2,0,0,(0),0.11,0.03,0.6,0.03,0,9,0.53,1.2,(0),0,-,-,-,-,-,-,-,-,-,-
1,1016,16,こむぎ　［小麦粉］　薄力粉　2等　,0,368,1540,14,9.3,8.2,1.9,(1.6),(0.43),(0.17),(0.96),(0),74.3,77.7,1.1,1.5,2.6,0.5,Tr,130,23,30,77,0.9,0.7,0.18,0.77,0,3,2,14,0,-,-,-,(0),(0),0,1,0.5,0,0,(0),0.21,0.04,1,0.09,0,14,0.62,2.5,(0),0,-,-,-,-,-,-,-,-,-,-
1,1018,17,こむぎ　［小麦粉］　中力粉　1等　,0,367,1537,14,9,8.1,1.6,1.4,0.36,0.14,0.8,(0),75.1,76.4,1.2,1.6,2.8,0.4,1,100,17,18,64,0.5,0.5,0.11,0.43,0,7,Tr,9,0,-,-,-,(0),(0),0,0.3,0.2,0,0,(0),0.1,0.03,0.6,0.05,0,8,0.47,1.5,(0),0,-,-,-,-,-,-,-,-,-,-
1,1019,18,こむぎ　［小麦粉］　中力粉　2等　,0,368,1539,14,9.7,8.7,1.8,(1.6),(0.41),(0.16),(0.91),(0),74,73.1,0.9,1.2,2.1,0.5,1,110,24,26,80,1.1,0.6,0.14,0.77,0,7,2,10,0,-,-,-,(0),(0),0,0.8,0.4,0,0,(0),0.22,0.04,1.2,0.07,0,12,0.66,2.6,(0),0,-,-,-,-,-,-,-,-,-,-
1,1020,19,こむぎ　［小麦粉］　強力粉　1等　,0,365,1528,14.5,11.8,10.7,1.5,1.3,0.35,0.14,0.77,(0),71.7,73.5,1.2,1.5,2.7,0.4,Tr,89,17,23,64,0.9,0.8,0.15,0.32,0,39,1,26,0,-,-,-,(0),(0),0,0.3,0.2,0,0,(0),0.09,0.04,0.8,0.06,0,16,0.77,1.7,(0),0,-,-,-,-,-,-,-,-,-,-
1,1021,20,こむぎ　［小麦粉］　強力粉　2等　,0,366,1530,14.5,12.6,11.6,1.7,(1.5),(0.39),(0.15),(0.87),(0),70.6,70,0.9,1.2,2.1,0.5,Tr,86,21,36,86,1,1,0.19,0.58,0,49,1,30,0,-,-,-,(0),(0),0,0.5,0.2,0,0,(0),0.13,0.04,1.1,0.08,0,18,0.93,2.6,(0),0,-,-,-,-,-,-,-,-,-,-
1,1023,21,こむぎ　［小麦粉］　強力粉　全粒粉　,0,328,1372,14.5,12.8,(11.7),2.9,(2.4),(0.53),(0.33),(1.44),(0),68.2,(61.2),1.5,9.7,11.2,1.6,2,330,26,140,310,3.1,3,0.42,4.02,0,47,3,44,(0),-,-,-,(0),(0),(0),1,0.5,0,0,(0),0.34,0.09,5.7,0.33,(0),48,1.27,10.8,(0),0,-,-,-,-,-,-,-,-,-,-
1,1146,22,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用　,0,352,1473,9.8,10.1,8.8,1.9,1.8,0.42,0.32,0.93,1,73.6,74.1,1.7,1.1,2.8,3.9,1400,210,64,31,320,1,0.7,0.13,0.92,1400,8,3,15,0,Tr,7,1,8,1,0.1,0.6,0.3,0.2,Tr,1,0.21,0.03,1.5,0.07,0.1,17,0.41,2.4,Tr,3.7,-,-,-,-,-,-,-,-,-,-
1,1024,23,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用　,0,365,1527,11.1,7.8,(7.1),4,(3.6),(1.54),(1.07),(0.86),31,74.4,(78.5),0.9,1,1.8,2.1,390,230,100,12,170,0.5,0.3,0.07,-,0,3,5,11,9,-,-,-,3,9,0.1,0.5,0.1,0.3,0.1,1,0.1,0.08,0.5,0.04,0.1,10,0.48,1.5,Tr,1,-,-,-,-,-,-,-,-,-,-
1,1147,24,こむぎ　［小麦粉］　プレミックス粉　から揚げ用　,0,331,1385,8.3,10.2,9.1,1.2,1,0.33,0.16,0.47,0,70,69.4,1.4,1.2,2.6,10.3,3800,280,110,39,130,1.2,0.7,0.1,0.96,1,6,6,23,0,2,39,31,56,5,0,0.3,0.2,0.1,0,2,0.15,0.07,1.3,0.12,Tr,26,0.33,4.3,0,9.7,-,-,-,-,-,-,-,-,-,-
1,1025,25,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　,0,351,1471,12.4,8.8,8,1.3,1.1,0.32,0.14,0.58,3,76.1,77.1,1.5,1,2.5,1.2,210,160,140,19,120,0.6,0.5,0.12,0.62,1,3,2,10,Tr,Tr,3,2,4,1,0,0.3,0.2,0,0,0,0.12,0.99,0.9,0.06,0,12,0.35,1.3,0,0.5,-,-,-,-,-,-,-,-,-,-
1,1026,26,こむぎ　［パン類］　食パン　　,0,264,1105,38,9.3,7.5,4.4,(4.1),(1.90),(1.15),(0.87),(0),46.7,49.1,0.4,1.9,2.3,1.6,500,97,29,20,83,0.6,0.8,0.11,0.24,1,24,1,18,(0),0,2,0,2,Tr,(0),0.5,0.1,0.7,Tr,(0),0.07,0.04,1.2,0.03,(Tr),32,0.47,2.4,(0),1.3,-,-,-,-,-,-,-,-,-,-
1,1028,27,こむぎ　［パン類］　コッペパン　　,0,265,1109,37,8.5,7.1,3.8,(3.6),(1.64),(1.00),(0.75),(Tr),49.1,-,1,1,2,1.6,520,95,37,24,75,1,0.7,0.12,0.39,-,-,-,-,(0),-,-,-,(0),(0),(0),0.4,0.1,0.8,0.2,(Tr),0.08,0.08,0.7,0.04,(Tr),45,0.63,-,(0),1.3,-,-,-,-,-,-,-,-,-,-
1,1030,28,こむぎ　［パン類］　乾パン　　,0,393,1644,5.5,9.5,(7.9),4.4,(4.0),(1.70),(1.01),(1.15),(Tr),78.8,(81.1),1.8,1.3,3.1,1.8,490,160,30,27,95,1.2,0.6,0.18,0.82,-,-,-,-,(0),-,-,-,(0),(0),(0),1.1,0.3,0.7,0.1,(Tr),0.14,0.06,0.9,0.06,(0),20,0.41,-,(0),1.2,-,-,-,-,-,-,-,-,-,-
1,1031,29,こむぎ　［パン類］　フランスパン　　,0,279,1167,30,9.4,8.4,1.3,(1.1),(0.29),(0.14),(0.63),(0),57.5,63.9,1.2,1.5,2.7,1.8,620,110,16,22,72,0.9,0.8,0.14,0.39,Tr,29,1,20,(0),0,0,0,0,(0),(0),0.1,0.1,0.1,Tr,(0),0.08,0.05,1.1,0.04,(0),33,0.45,1.9,(0),1.6,-,-,-,-,-,-,-,-,-,-
1,1032,30,こむぎ　［パン類］　ライ麦パン　　,0,264,1105,35,8.4,6.6,2.2,(2.0),(0.90),(0.57),(0.44),(0),52.7,-,2,3.6,5.6,1.7,470,190,16,40,130,1.4,1.3,0.18,0.87,-,-,-,-,(0),0,0,0,0,(0),Tr,0.3,0.1,0.2,0.1,(0),0.16,0.06,1.3,0.09,(0),34,0.46,-,(0),1.2,-,-,-,-,-,-,-,-,-,-
1,1033,31,こむぎ　［パン類］　ぶどうパン　　,0,269,1125,35.7,8.2,(6.7),3.5,(3.3),(1.57),(0.97),(0.58),(Tr),51.1,-,0.9,1.3,2.2,1.5,400,210,32,23,86,0.9,0.6,0.15,0.32,-,-,-,-,Tr,0,1,0,1,Tr,Tr,0.4,0.1,0.4,0.2,(Tr),0.11,0.05,1.2,0.07,(Tr),33,0.42,-,(Tr),1,-,-,-,-,-,-,-,-,-,-
1,1034,32,こむぎ　［パン類］　ロールパン　　,0,316,1322,30.7,10.1,8.4,9,8.5,4.02,2.86,1.26,(Tr),48.6,49.7,1,1,2,1.6,490,110,44,22,97,0.7,0.8,0.12,0.29,-,-,-,-,(0),0,15,0,15,1,0.1,0.5,0.1,0.7,0.2,(Tr),0.1,0.06,1.3,0.03,(Tr),38,0.61,-,(0),1.2,-,-,-,-,-,-,-,-,-,-
1,1035,33,こむぎ　［パン類］　クロワッサン　　,0,448,1874,20,7.9,(6.6),26.8,(25.4),(12.16),(8.94),(3.15),(Tr),43.9,-,0.9,0.9,1.8,1.4,470,90,21,17,67,0.6,0.6,0.1,0.29,-,-,-,-,(0),5,66,0,69,6,0.1,1.9,0.2,5.3,1.2,(Tr),0.08,0.03,1,0.03,(Tr),33,0.44,-,(0),1.2,-,-,-,-,-,-,-,-,-,-
1,1036,34,こむぎ　［パン類］　イングリッシュマフィン　　,0,228,954,46,8.1,(6.7),3.6,(3.2),(1.21),(0.70),(1.19),(Tr),40.8,(40.1),0.2,1,1.2,1.5,480,84,53,19,96,0.9,0.8,0.12,0.28,-,-,-,-,(0),Tr,1,0,1,Tr,(0),0.3,0.1,0.3,0.1,(Tr),0.15,0.08,1.2,0.05,(0),23,0.32,-,(0),1.2,-,-,-,-,-,-,-,-,-,-
1,1037,35,こむぎ　［パン類］　ナン　　,0,262,1096,37.2,10.3,(8.5),3.4,3.1,0.53,1.45,1,(0),47.6,(45.6),0.8,1.2,2,1.5,530,97,11,22,77,0.8,0.7,0.11,0.3,-,-,-,-,(0),0,0,0,0,(0),(0),0.6,0.1,0.7,0,(0),0.13,0.06,1.3,0.05,(0),36,0.55,-,(0),1.3,-,-,-,-,-,-,-,-,-,-
1,1148,36,こむぎ　［パン類］　ベーグル　　,0,275,1151,32.3,9.6,8.1,2,1.9,0.71,0.48,0.63,-,54.6,50.3,1.2,1.3,2.5,1.4,460,97,24,24,81,1.3,0.7,0.11,0.45,-,-,-,-,-,-,-,-,-,-,-,0.2,0.1,Tr,0,-,0.19,0.08,2,0.06,-,47,0.28,-,-,1.2,-,-,-,-,-,-,-,-,-,-
1,1038,37,こむぎ　［うどん・そうめん類］　うどん　生　,0,270,1130,33.5,6.1,5.1,0.6,(0.5),(0.14),(0.05),(0.31),(0),56.8,55,0.5,0.7,1.2,3,1000,90,18,13,49,0.3,0.3,0.08,0.39,2,6,2,7,(0),0,0,0,0,(0),(0),0.2,0.2,0,0,(0),0.09,0.03,0.6,0.03,(0),5,0.36,0.8,(0),2.5,-,-,-,-,-,-,-,-,-,-
1,1039,38,こむぎ　［うどん・そうめん類］　うどん　ゆで　,0,105,439,75,2.6,2.2,0.4,(0.3),(0.09),(0.04),(0.20),(0),21.6,21.4,0.2,0.6,0.8,0.4,120,9,6,6,18,0.2,0.1,0.04,0.12,Tr,2,1,2,(0),0,0,0,0,(0),(0),0.1,0.1,0,0,(0),0.02,0.01,0.2,0.01,(0),2,0.13,0.3,(0),0.3,-,-,-,-,-,-,-,-,-,180
1,1041,39,こむぎ　［うどん・そうめん類］　干しうどん　乾　,0,348,1456,13.5,8.5,7.8,1.1,(1.0),(0.25),(0.10),(0.56),(0),71.9,(71.6),0.6,1.8,2.4,5,1700,130,17,19,70,0.6,0.4,0.11,0.5,0,10,1,12,(0),0,0,0,0,(0),(0),0.3,0.2,0,0,(0),0.08,0.02,0.9,0.04,(0),9,0.45,1.3,(0),4.3,-,-,-,-,-,-,-,-,-,-
1,1042,40,こむぎ　［うどん・そうめん類］　干しうどん　ゆで　,0,126,527,70,3.1,(2.9),0.5,(0.4),(0.11),(0.04),(0.25),(0),25.8,(25.7),0.3,0.4,0.7,0.6,210,14,7,4,24,0.2,0.1,0.04,0.14,-,-,-,-,(0),0,0,0,0,(0),(0),0.1,0.1,0,0,(0),0.02,0.01,0.2,0.01,(0),2,0.14,-,(0),0.5,-,-,-,-,-,-,-,-,-,240
